x,y
0.0,0.0
0.0003125,-0.00021752442712
0.0009375,-0.00021666557243
0.0015625,-0.00021744016422
0.0021875,-0.00021819764443
0.0028125,-0.00021895970552
0.0034375,-0.00021973905447
0.0040625,-0.00022036206107
0.0046875,-0.00022098658011
0.0053125,-0.00022148985722
0.0059375,-0.00022199497858
0.0065625,-0.00022241685415
0.0071875,-0.00022284134574
0.0078125,-0.0002232072028
0.0084375,-0.00022357534645
0.0090625,-0.00022390017814
0.0096875,-0.00022422648615
0.0103125,-0.00022451938057
0.0109375,-0.00022481289504
0.0115625,-0.00022507972075
0.0121875,-0.00022534643456
0.0128125,-0.00022559124772
0.0134375,-0.00022583537903
0.0140625,-0.00022606115502
0.0146875,-0.00022628582758
0.0153125,-0.00022649485394
0.0159375,-0.00022670247555
0.0165625,-0.00022689657391
0.0171875,-0.00022708905829
0.0178125,-0.0002272697171
0.0184375,-0.00022744862135
0.0190625,-0.00022761708041
0.0196875,-0.00022778369466
0.0203125,-0.00022794100199
0.0209375,-0.00022809641089
0.0215625,-0.00022824346283
0.0221875,-0.0002283885892
0.0228125,-0.00022852615982
0.0234375,-0.00022866179683
0.0240625,-0.00022879056018
0.0246875,-0.00022891739554
0.0253125,-0.00022903794281
0.0259375,-0.00022915657744
0.0265625,-0.00022926943011
0.0271875,-0.00022938039521
0.0278125,-0.00022948601688
0.0284375,-0.00022958977663
0.0290625,-0.00022968858148
0.0296875,-0.00022978555009
0.0303125,-0.00022987790847
0.0309375,-0.00022996846435
0.0315625,-0.00023005470997
0.0321875,-0.00023013918643
0.0328125,-0.00023021962117
0.0334375,-0.00023029832313
0.0340625,-0.00023037321935
0.0346875,-0.00023044641561
0.0353125,-0.0002305160272
0.0359375,-0.0002305839683
0.0365625,-0.0002306485244
0.0371875,-0.00023071143908
0.0378125,-0.00023077114293
0.0384375,-0.00023082924054
0.0390625,-0.00023088428437
0.0396875,-0.00023093775506
0.0403125,-0.00023098831835
0.0409375,-0.00023103733287
0.0415625,-0.00023108358112
0.0421875,-0.00023112830985
0.0428125,-0.00023117038701
0.0434375,-0.00023121097502
0.0440625,-0.0002312490263
0.0446875,-0.00023128561389
0.0453125,-0.00023131976659
0.0459375,-0.0002313524845
0.0465625,-0.00023138285511
0.0471875,-0.00023141182356
0.0478125,-0.00023143853211
0.0484375,-0.00023146385473
0.0490625,-0.0002314870076
0.0496875,-0.00023150879372
0.0503125,-0.00023152848514
0.0509375,-0.00023154683223
0.0515625,-0.00023156315432
0.0521875,-0.00023157815314
0.0528125,-0.00023159119299
0.0534375,-0.00023160292811
0.0540625,-0.00023161276572
0.0546875,-0.00023162131773
0.0553125,-0.00023162802874
0.0559375,-0.00023163347282
0.0565625,-0.00023163712741
0.0571875,-0.00023163953709
0.0578125,-0.00023164020313
0.0584375,-0.00023163963719
0.0590625,-0.00023163738018
0.0596875,-0.00023163390547
0.0603125,-0.00023162878342
0.0609375,-0.00023162245844
0.0615625,-0.00023161452403
0.0621875,-0.00023160541015
0.0628125,-0.00023159471686
0.0634375,-0.0002315828583
0.0640625,-0.00023156945979
0.0646875,-0.00023155490578
0.0653125,-0.00023153885413
0.0659375,-0.00023152164741
0.0665625,-0.00023150298132
0.0671875,-0.00023148317778
0.0678125,-0.00023146193238
0.0684375,-0.00023143956874
0.0690625,-0.00023141579463
0.0696875,-0.00023139090796
0.0703125,-0.00023136463627
0.0709375,-0.00023133726554
0.0715625,-0.00023130853707
0.0721875,-0.00023127871543
0.0728125,-0.00023124756259
0.0734375,-0.00023121532479
0.0740625,-0.00023118177809
0.0746875,-0.00023114715701
0.0753125,-0.00023111124496
0.0759375,-0.00023107426741
0.0765625,-0.00023103602335
0.0771875,-0.00023099672178
0.0778125,-0.00023095616978
0.0784375,-0.00023091456821
0.0790625,-0.00023087173279
0.0796875,-0.00023082785692
0.0803125,-0.00023078276522
0.0809375,-0.00023073663939
0.0815625,-0.0002306893118
0.0821875,-0.0002306409582
0.0828125,-0.00023059141914
0.0834375,-0.00023054085821
0.0840625,-0.0002304891277
0.0846875,-0.00023043638139
0.0853125,-0.00023038247657
0.0859375,-0.00023032756219
0.0865625,-0.00023027150393
0.0871875,-0.00023021444102
0.0878125,-0.00023015624571
0.0884375,-0.0002300970497
